SA-up-x,SA-up-y,SA-up-z
263.620636,1508.273926,384.96991
430.093628,1494.734619,365.071533
459.329834,1486.097412,293.091064
376.639801,1501.334473,404.127411
368.037537,1507.672974,309.709839
254.567474,1505.661255,260.107513
204.153992,1499.476562,267.365845
236.01561,1507.307007,298.731018
194.626846,1500.931641,354.70343
192.049515,1497.384155,274.86792
208.46907,1494.277954,224.196442
228.670242,1502.42688,266.730011
305.731842,1509.766846,347.502899
411.233093,1494.537598,367.832916
453.830963,1475.224609,428.982361
502.25412,1450.998535,450.910248
378.379578,1480.288696,477.364838
295.992035,1465.14209,539.873413
382.649994,1489.916992,446.712067
327.927338,1505.022461,367.670776
413.995483,1487.691528,401.1138
408.365234,1468.047729,486.484436
473.971375,1425.945679,539.847412
409.231598,1459.930054,513.260376
440.223785,1484.55835,381.996368
474.211792,1471.422485,402.764587
452.866455,1479.599243,380.975739
514.31842,1458.772461,359.506378
545.031799,1440.142944,324.607574
611.463074,1393.997803,320.113647
